Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,LAL,L,114,120,114.7,120.7,99.4,.314,.337,.582,50.0,65.9,10.1,1.9,.552,12.5,26.3,.221,.573,13.2,72.5,.202
2,2,2016-10-28,DAL,W,106,98,113.9,105.3,93.1,.443,.457,.634,54.7,63.6,6.4,2.0,.579,17.7,15.2,.357,.488,9.0,85.7,.250
3,3,2016-10-30,DAL,W,93,92,102.5,101.4,90.7,.263,.388,.521,52.3,47.1,5.5,7.4,.494,16.0,23.1,.175,.446,8.8,75.5,.202
4,4,2016-11-01,CLE,L,120,128,129.3,138.0,92.8,.278,.489,.594,41.0,69.8,5.4,3.9,.572,6.5,24.4,.189,.614,10.2,63.6,.313
5,5,2016-11-02,NYK,W,118,99,117.7,98.8,100.2,.303,.449,.585,61.4,59.5,12.0,12.3,.556,15.8,41.3,.213,.482,14.3,83.3,.200
6,6,2016-11-05,ATL,L,97,112,95.7,110.4,101.4,.153,.424,.535,49.4,59.5,8.9,10.8,.506,22.3,27.9,.129,.576,16.6,70.5,.165
7,7,2016-11-07,WAS,W,114,106,118.6,110.3,96.1,.228,.468,.656,45.1,68.3,6.2,10.4,.627,17.2,17.1,.190,.468,11.2,66.0,.191
8,8,2016-11-09,SAS,W,101,99,105.9,103.8,95.4,.282,.385,.576,53.6,67.6,7.3,6.6,.538,17.8,21.6,.218,.435,9.3,78.7,.310
9,9,2016-11-12,SAS,L,100,106,107.8,114.3,92.7,.236,.528,.509,56.8,64.7,6.5,6.9,.466,12.5,32.7,.191,.572,10.4,93.8,.250
10,10,2016-11-14,PHI,W,115,88,118.9,91.0,96.7,.187,.440,.584,59.6,45.5,6.2,14.7,.577,15.5,37.8,.110,.406,11.0,79.6,.167
11,11,2016-11-16,OKC,L,103,105,102.9,104.9,100.1,.152,.435,.525,51.6,62.5,10.0,6.8,.511,14.0,23.5,.098,.548,15.1,87.5,.155
12,12,2016-11-17,POR,W,126,109,126.8,109.7,99.3,.263,.337,.594,56.8,56.5,6.0,9.7,.558,10.9,35.4,.211,.511,10.8,78.7,.189
13,13,2016-11-19,UTA,W,111,102,121.1,111.2,91.7,.213,.340,.540,47.6,66.7,8.7,6.1,.511,3.7,20.8,.160,.592,12.6,85.3,.158
14,14,2016-11-21,DET,W,99,96,106.4,103.2,93.0,.346,.397,.551,54.1,62.9,4.3,8.6,.513,14.3,30.8,.244,.454,12.5,73.9,.195
15,15,2016-11-23,TOR,L,102,115,108.2,122.0,94.3,.154,.538,.612,50.6,76.3,6.4,10.8,.577,23.8,32.4,.154,.557,12.6,65.1,.193
16,16,2016-11-25,SAC,W,117,104,119.8,106.5,97.7,.235,.588,.624,53.2,67.5,8.2,4.2,.594,13.0,19.5,.188,.544,13.6,89.5,.213
17,17,2016-11-27,POR,W,130,114,133.4,117.0,97.5,.341,.439,.689,50.7,56.5,7.2,16.0,.665,10.4,20.6,.256,.554,12.8,78.4,.265
18,18,2016-11-29,UTA,L,101,120,114.8,136.4,88.0,.242,.330,.502,48.7,37.8,5.7,13.0,.467,6.5,30.0,.176,.655,8.5,82.1,.311
19,19,2016-12-01,GSW,W,132,127,109.1,105.0,100.1,.278,.407,.545,50.9,54.2,9.1,6.7,.509,13.6,26.8,.204,.471,12.4,75.9,.279
20,20,2016-12-02,DEN,W,128,110,131.5,113.0,97.3,.281,.416,.640,44.7,55.6,11.3,9.7,.601,9.9,29.3,.236,.495,12.8,56.6,.088
