Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,DAL,W,130,121,113.7,105.8,103.6,.366,.204,.602,51.5,63.8,9.6,10.7,.559,12.9,17.0,.280,.519,11.8,81.5,.125
2,2,2016-10-28,BRK,L,94,103,94.1,103.2,99.8,.204,.245,.440,48.5,59.5,7.0,11.1,.413,10.9,25.9,.133,.494,14.3,74.5,.195
3,3,2016-10-29,CHI,L,101,118,108.1,126.3,93.4,.102,.205,.549,41.3,79.1,8.6,10.8,.528,12.4,19.0,.091,.576,11.2,65.8,.221
4,4,2016-11-01,LAL,W,115,108,111.7,104.9,102.9,.333,.322,.576,49.4,46.3,9.7,13.1,.529,13.1,25.0,.264,.483,16.0,74.4,.247
5,5,2016-11-03,MIL,L,107,125,106.8,124.8,100.2,.333,.284,.576,43.8,76.3,14.0,7.3,.531,18.4,25.6,.259,.646,18.5,64.7,.232
6,6,2016-11-05,CHI,W,111,94,122.1,103.4,90.9,.140,.302,.608,47.4,58.7,8.8,14.8,.605,10.8,22.9,.081,.468,15.1,68.3,.253
7,7,2016-11-07,CHO,L,100,122,95.5,116.5,104.7,.161,.355,.502,54.3,57.5,7.6,7.7,.478,15.3,21.6,.118,.560,10.1,93.0,.333
8,8,2016-11-09,PHI,W,122,115,113.7,107.2,97.1,.220,.209,.611,49.4,51.0,8.4,11.9,.588,13.1,17.1,.165,.558,14.1,78.3,.095
9,9,2016-11-11,PHI,L,105,109,100.6,104.4,94.5,.261,.216,.535,42.6,59.0,13.4,3.7,.472,11.7,8.9,.250,.483,16.0,73.5,.302
10,10,2016-11-12,BOS,L,99,105,106.3,112.7,93.1,.326,.314,.503,46.0,47.2,9.7,16.4,.453,11.7,25.6,.244,.488,12.1,65.9,.338
11,11,2016-11-14,ORL,W,88,69,94.0,73.7,93.6,.111,.278,.466,48.5,62.9,9.6,15.3,.433,8.7,14.0,.111,.351,13.5,82.4,.119
12,12,2016-11-16,CLE,W,103,93,106.1,95.8,97.1,.128,.326,.567,44.0,51.2,8.2,21.4,.558,9.9,11.1,.081,.471,16.0,76.1,.140
13,13,2016-11-18,PHO,L,96,116,102.8,124.3,93.3,.382,.092,.541,43.2,50.0,5.4,11.3,.480,16.9,26.3,.303,.521,9.5,58.1,.155
14,14,2016-11-20,OKC,W,115,111,105.7,102.0,98.5,.348,.247,.560,51.0,57.5,11.9,3.1,.511,17.7,30.6,.270,.485,15.5,70.6,.129
15,15,2016-11-21,GSW,L,83,120,82.3,118.9,100.9,.117,.223,.383,45.0,39.4,5.0,7.4,.350,9.2,23.8,.107,.517,10.3,73.9,.300
16,16,2016-11-23,ATL,L,85,96,87.0,98.3,97.6,.167,.321,.471,39.8,47.1,15.4,7.7,.446,16.6,15.2,.119,.453,18.2,63.8,.224
17,17,2016-11-25,BRK,W,118,97,120.5,99.0,98.0,.184,.299,.627,55.3,52.1,11.2,11.1,.615,13.0,23.7,.126,.525,17.6,80.9,.177
18,18,2016-11-27,LAC,W,91,70,97.7,75.1,93.2,.076,.207,.479,56.5,65.0,8.6,8.7,.462,12.0,27.7,.065,.343,19.6,86.7,.314
19,19,2016-11-30,POR,L,109,131,115.9,139.3,94.1,.486,.194,.624,44.4,52.8,3.2,6.5,.542,14.6,13.3,.431,.606,5.5,66.7,.181
