Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,ORL,W,108,96,114.5,101.8,94.3,.165,.165,.519,53.6,57.4,5.3,9.9,.505,8.8,34.8,.103,.416,9.8,70.6,.247
2,2,2016-10-28,CHO,L,91,97,93.6,99.8,97.2,.233,.395,.480,51.5,59.4,2.1,5.7,.453,16.7,23.4,.151,.418,7.2,75.9,.217
3,3,2016-10-30,SAS,L,99,106,106.0,113.5,93.4,.325,.250,.541,45.0,51.4,7.5,9.4,.506,11.6,16.7,.225,.512,13.8,68.2,.268
4,4,2016-11-01,SAC,W,108,96,102.8,91.4,95.1,.337,.337,.547,45.9,64.9,9.5,13.6,.506,13.2,12.0,.244,.410,12.9,81.3,.258
5,5,2016-11-04,TOR,L,87,96,94.5,104.2,92.1,.170,.318,.460,46.2,55.9,10.9,8.5,.438,12.1,24.5,.114,.476,14.0,70.5,.190
6,6,2016-11-07,OKC,L,85,97,91.6,104.6,92.8,.262,.202,.454,46.6,38.7,8.6,12.3,.393,11.4,24.5,.226,.488,14.7,74.4,.165
7,7,2016-11-10,CHI,L,95,98,103.7,107.0,91.6,.170,.330,.502,48.9,61.1,8.7,6.8,.483,12.1,28.0,.114,.449,9.3,72.7,.202
8,8,2016-11-12,UTA,L,91,102,99.2,111.2,91.8,.235,.210,.509,46.4,55.3,5.4,6.6,.500,8.2,9.3,.123,.531,9.2,85.4,.198
9,9,2016-11-14,SAS,L,90,94,96.0,100.2,93.8,.247,.188,.478,44.2,59.5,14.9,11.9,.459,12.1,22.4,.141,.451,15.3,67.4,.244
10,10,2016-11-15,ATL,L,90,93,91.9,95.0,97.9,.157,.258,.473,57.8,36.1,11.2,11.1,.444,19.5,37.0,.124,.500,17.7,83.8,.163
11,11,2016-11-17,MIL,W,96,73,105.4,80.2,91.1,.216,.309,.452,55.1,48.7,5.5,12.9,.438,6.2,32.1,.113,.371,12.5,77.8,.118
12,12,2016-11-19,WAS,W,114,111,122.7,119.5,92.9,.306,.318,.591,55.8,48.8,5.4,11.5,.582,14.2,40.9,.176,.540,9.3,71.4,.182
13,13,2016-11-21,PHI,L,94,101,103.8,111.5,90.6,.318,.352,.469,55.6,50.0,7.7,11.5,.426,11.5,38.9,.216,.545,13.9,80.6,.205
14,14,2016-11-23,DET,L,84,107,90.2,114.9,93.1,.400,.347,.476,43.0,70.4,5.4,6.5,.407,13.7,15.2,.307,.531,12.4,75.0,.259
15,15,2016-11-25,MEM,W,90,81,101.2,91.1,88.9,.212,.365,.484,46.3,51.5,9.0,12.7,.459,7.9,22.2,.141,.378,15.6,68.0,.232
16,16,2016-11-26,MEM,L,107,110,118.4,121.8,90.3,.296,.383,.584,53.4,45.0,3.3,12.5,.562,8.9,20.0,.198,.568,6.4,93.9,.370
17,17,2016-11-28,BOS,L,104,112,107.4,115.7,96.8,.400,.375,.553,50.6,63.2,6.2,3.6,.513,12.1,17.1,.275,.548,8.7,85.0,.253
18,18,2016-11-30,DEN,W,106,98,105.1,97.2,100.8,.280,.258,.507,46.6,63.4,13.9,10.1,.489,5.4,21.2,.161,.456,15.8,72.5,.165
19,19,2016-12-01,UTA,W,111,110,130.7,129.5,85.0,.221,.221,.588,56.3,36.4,8.2,4.7,.558,6.0,33.3,.174,.664,12.0,84.4,.178
20,20,2016-12-03,POR,L,92,99,97.6,105.1,94.2,.174,.256,.497,49.5,60.5,6.4,9.2,.477,12.3,18.6,.116,.455,7.4,76.0,.202
