Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,MEM,L,98,102,107.5,111.8,91.2,.337,.209,.496,50.0,55.6,6.6,8.9,.453,9.2,30.6,.233,.519,12.4,73.2,.238
2,2,2016-10-29,SAC,L,103,106,115.3,118.6,89.4,.443,.314,.616,53.7,51.4,6.7,8.5,.579,11.6,25.9,.314,.512,11.9,72.5,.224
3,3,2016-11-01,MEM,W,116,80,118.8,82.0,97.6,.295,.256,.658,61.0,67.4,10.2,9.8,.628,19.2,29.4,.231,.387,18.6,83.3,.293
4,4,2016-11-03,DEN,L,99,102,98.7,101.6,100.3,.284,.250,.500,49.4,57.1,8.0,6.8,.449,13.9,27.5,.227,.519,17.9,80.6,.222
5,5,2016-11-05,OKC,L,92,112,98.6,120.0,93.3,.345,.226,.475,50.0,36.4,7.5,11.4,.417,14.9,36.2,.262,.564,11.1,68.6,.174
6,6,2016-11-08,BRK,L,110,119,108.0,116.8,101.8,.304,.304,.527,48.8,51.3,10.8,7.0,.489,13.3,28.3,.217,.632,18.6,83.9,.303
7,7,2016-11-09,ORL,W,123,107,133.2,115.8,92.4,.299,.264,.625,52.9,60.0,8.7,8.2,.592,5.7,26.3,.230,.494,8.4,74.5,.271
8,8,2016-11-12,LAC,L,105,119,111.5,126.4,94.2,.236,.247,.534,48.1,65.0,11.7,5.8,.494,11.7,31.3,.191,.599,13.2,72.7,.368
9,9,2016-11-13,LAL,W,125,99,129.4,102.5,96.6,.525,.338,.635,53.0,66.7,10.4,8.5,.606,9.2,20.9,.350,.521,16.8,87.5,.352
10,10,2016-11-15,CHO,L,108,115,110.1,117.3,98.1,.236,.393,.550,53.8,65.8,4.1,8.9,.511,15.5,29.8,.191,.606,12.7,87.9,.225
11,11,2016-11-17,PHI,W,110,86,122.1,95.5,90.1,.235,.306,.586,55.1,41.9,7.8,15.7,.541,12.2,35.7,.212,.428,14.1,72.3,.181
12,12,2016-11-19,MEM,L,71,93,84.6,110.8,84.0,.344,.344,.482,42.5,64.0,6.0,8.6,.445,17.8,13.2,.219,.395,8.8,69.0,.434
13,13,2016-11-21,BOS,L,93,99,99.5,105.9,93.5,.291,.279,.479,56.7,63.9,5.3,8.7,.442,13.4,32.7,.198,.524,10.9,85.4,.131
14,14,2016-11-23,NOP,L,96,117,90.7,110.5,105.9,.384,.198,.478,47.7,69.7,11.3,5.1,.401,14.5,16.3,.314,.596,15.4,89.2,.217
15,15,2016-11-25,PHO,W,98,85,99.7,86.5,98.3,.294,.259,.510,44.8,47.1,15.3,15.1,.441,15.0,23.4,.271,.443,22.1,70.0,.190
16,16,2016-11-26,GSW,L,102,115,107.5,121.2,94.9,.135,.393,.541,41.6,53.7,8.4,5.1,.517,12.1,19.5,.112,.623,16.9,66.7,.173
17,17,2016-11-28,UTA,L,103,112,111.1,120.9,92.7,.309,.235,.560,48.1,72.2,8.6,3.3,.488,13.2,25.0,.296,.532,11.3,70.7,.354
18,18,2016-11-30,NYK,L,104,106,110.3,112.4,94.3,.506,.247,.552,50.6,50.0,9.5,8.5,.468,13.7,28.9,.416,.522,11.8,70.7,.121
19,19,2016-12-02,NYK,L,114,118,115.6,119.7,98.6,.273,.318,.578,50.0,61.0,6.1,10.9,.523,12.4,28.9,.250,.547,13.1,73.2,.279
20,20,2016-12-03,CHO,W,125,120,115.0,110.4,98.4,.208,.255,.540,50.5,66.7,9.2,15.4,.500,8.0,27.5,.179,.505,11.1,74.0,.178
