Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-25,CLE,L,88,117,88.1,117.1,99.9,.230,.310,.459,45.2,53.1,6.0,10.2,.420,15.8,24.5,.172,.548,12.0,72.5,.149
2,2,2016-10-29,MEM,W,111,104,115.1,107.9,96.4,.513,.276,.596,50.6,60.0,4.1,6.6,.566,11.4,17.1,.329,.483,11.0,76.1,.244
3,3,2016-11-01,DET,L,89,102,93.9,107.7,94.7,.174,.256,.481,47.3,51.4,6.3,11.8,.448,10.6,17.4,.140,.506,9.2,77.8,.135
4,4,2016-11-02,HOU,L,99,118,98.8,117.7,100.2,.294,.235,.516,38.6,48.6,10.0,12.2,.482,14.3,16.7,.200,.556,15.8,58.7,.213
5,5,2016-11-04,CHI,W,117,104,130.9,116.4,89.4,.236,.236,.595,48.8,69.6,7.8,3.3,.567,4.8,28.9,.180,.488,11.1,65.9,.262
6,6,2016-11-06,UTA,L,109,114,119.8,125.2,91.0,.229,.241,.597,53.4,42.9,8.8,10.0,.554,11.6,27.0,.205,.560,10.0,80.6,.400
7,7,2016-11-09,BRK,W,110,96,108.7,94.9,101.2,.185,.326,.553,54.9,56.8,10.9,10.6,.533,12.3,21.4,.130,.481,16.4,83.7,.238
8,8,2016-11-11,BOS,L,87,115,85.8,113.4,101.4,.181,.245,.429,51.8,57.6,6.9,17.5,.383,19.8,38.2,.160,.450,12.1,65.5,.378
9,9,2016-11-12,TOR,L,107,118,108.5,119.6,98.6,.165,.237,.514,52.7,43.2,3.0,3.3,.490,13.3,34.0,.124,.512,9.9,74.4,.398
10,10,2016-11-14,DAL,W,93,77,108.1,89.5,86.0,.231,.321,.541,54.8,52.9,7.0,7.3,.494,16.5,32.6,.205,.416,12.0,74.0,.096
11,11,2016-11-16,DET,W,105,102,116.6,113.3,90.0,.204,.269,.518,56.5,57.1,8.9,14.5,.500,8.2,37.3,.129,.541,10.0,80.5,.118
12,12,2016-11-17,WAS,L,112,119,118.0,125.4,94.9,.233,.337,.591,49.3,56.1,9.5,1.8,.547,12.1,25.0,.209,.636,14.4,78.8,.198
13,13,2016-11-20,ATL,W,104,94,108.5,98.0,95.9,.159,.295,.552,51.0,50.0,8.3,1.6,.534,13.7,24.4,.114,.435,11.7,73.6,.235
14,14,2016-11-22,POR,W,107,103,107.5,103.5,99.5,.083,.302,.538,49.4,57.8,8.0,7.8,.516,11.6,23.3,.083,.477,14.1,75.0,.244
15,15,2016-11-25,CHO,W,113,111,107.6,105.7,95.1,.134,.289,.550,54.5,57.8,8.6,12.5,.521,13.5,26.5,.124,.505,11.0,80.8,.183
16,16,2016-11-26,CHO,L,102,107,103.1,108.2,98.9,.204,.327,.478,46.9,70.3,9.1,10.3,.439,7.0,19.2,.163,.488,9.2,78.3,.363
17,17,2016-11-28,OKC,L,103,112,110.1,119.7,93.5,.308,.209,.498,43.0,55.6,9.6,15.7,.429,4.6,25.0,.275,.543,12.3,62.2,.130
18,18,2016-11-30,MIN,W,106,104,112.4,110.3,94.3,.165,.352,.543,49.4,58.5,8.5,5.2,.522,11.8,29.3,.121,.468,13.7,71.1,.416
19,19,2016-12-02,MIN,W,118,114,119.7,115.6,98.6,.349,.360,.595,50.0,63.4,9.1,10.0,.547,13.1,26.8,.279,.523,12.4,71.1,.250
