Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,PHI,W,103,97,102.6,96.7,100.3,.277,.234,.488,55.2,48.7,7.0,5.0,.447,8.7,25.5,.202,.470,12.0,88.9,.214
2,2,2016-10-28,PHO,W,113,110,97.9,95.3,104.5,.396,.219,.501,56.4,32.5,9.5,4.5,.443,16.3,27.5,.292,.473,12.2,86.0,.223
3,3,2016-10-30,LAL,W,113,96,106.7,90.7,105.9,.179,.274,.551,52.3,64.4,14.2,10.9,.521,15.6,25.0,.147,.443,17.7,76.1,.218
4,4,2016-11-02,LAC,W,85,83,83.9,81.9,101.3,.238,.238,.458,55.9,41.2,7.9,6.2,.435,18.5,23.3,.143,.431,15.2,84.0,.092
5,5,2016-11-03,GSW,L,96,122,99.1,126.0,96.9,.322,.310,.483,47.1,57.1,8.3,10.2,.460,13.9,29.5,.184,.596,13.3,65.1,.180
6,6,2016-11-05,MIN,W,112,92,120.0,98.6,93.3,.279,.186,.580,50.0,53.3,9.6,13.8,.564,11.1,31.4,.174,.417,14.9,63.8,.262
7,7,2016-11-07,MIA,W,97,85,104.6,91.6,92.8,.200,.329,.524,53.4,64.9,8.6,7.5,.488,14.7,25.6,.165,.393,11.4,75.5,.226
8,8,2016-11-09,TOR,L,102,112,109.3,120.0,93.3,.419,.459,.582,52.7,58.1,6.4,8.8,.500,17.8,28.2,.378,.584,10.6,80.0,.181
9,9,2016-11-11,LAC,L,108,110,108.7,110.8,99.3,.216,.318,.560,50.0,55.3,3.0,1.7,.523,14.2,20.9,.182,.517,9.0,76.6,.244
10,10,2016-11-13,ORL,L,117,119,121.5,123.6,96.3,.283,.272,.566,52.5,46.8,4.2,9.7,.549,8.8,28.6,.174,.599,8.7,78.9,.186
11,11,2016-11-14,DET,L,88,104,87.8,103.7,100.3,.250,.307,.450,52.0,48.5,3.0,7.9,.403,13.3,23.2,.193,.495,8.3,90.5,.141
12,12,2016-11-16,HOU,W,105,103,104.9,102.9,100.1,.167,.298,.582,48.4,62.5,7.0,13.5,.548,15.1,12.5,.155,.511,14.0,76.5,.098
13,13,2016-11-18,BRK,W,124,105,121.4,102.8,102.1,.270,.292,.623,60.5,46.9,8.8,9.3,.590,13.8,30.3,.213,.488,14.3,83.7,.289
14,14,2016-11-20,IND,L,111,115,102.0,105.7,98.5,.178,.356,.510,49.0,63.6,9.2,10.4,.485,15.5,29.4,.129,.511,17.7,69.4,.270
15,15,2016-11-22,LAL,L,109,111,111.0,113.0,98.2,.120,.293,.563,53.3,64.4,11.2,10.7,.549,13.4,27.5,.087,.590,15.9,82.9,.157
16,16,2016-11-23,SAC,L,101,116,104.8,120.4,96.4,.500,.329,.545,45.2,56.3,7.3,10.6,.467,8.8,12.5,.395,.532,9.8,75.0,.170
17,17,2016-11-25,DEN,W,132,129,118.1,115.4,101.2,.305,.274,.612,44.0,60.4,9.8,6.0,.574,10.8,15.6,.242,.535,12.4,71.7,.208
18,18,2016-11-26,DET,W,106,88,117.4,97.4,90.3,.313,.277,.561,57.3,54.8,4.4,4.8,.554,9.6,27.8,.169,.457,8.2,84.6,.159
19,19,2016-11-28,NYK,W,112,103,119.7,110.1,93.5,.196,.239,.560,57.0,54.3,4.3,9.7,.543,12.3,37.8,.130,.429,4.6,75.0,.275
20,20,2016-11-30,WAS,W,126,115,116.4,106.2,98.1,.326,.316,.580,49.5,60.9,9.2,5.7,.547,10.7,19.6,.232,.500,9.1,77.6,.173
