Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,MIA,L,96,108,101.8,114.5,94.3,.315,.202,.474,46.4,58.8,5.3,4.9,.416,9.8,29.4,.247,.505,8.8,65.2,.103
2,2,2016-10-28,DET,L,82,108,86.1,113.3,95.3,.126,.274,.409,45.4,60.6,8.4,3.9,.389,8.2,24.1,.084,.542,10.9,76.9,.053
3,3,2016-10-29,CLE,L,99,105,102.6,108.8,96.5,.310,.333,.519,55.6,55.3,6.2,9.8,.500,17.3,32.5,.179,.472,8.2,74.0,.250
4,4,2016-11-01,PHI,W,103,101,108.9,106.7,94.6,.183,.269,.513,48.1,69.0,7.4,9.8,.484,9.1,25.5,.140,.549,14.6,79.4,.148
5,5,2016-11-03,SAC,W,102,94,112.9,104.1,90.3,.274,.357,.542,53.0,63.2,5.5,6.5,.512,12.9,31.7,.190,.519,13.8,73.8,.138
6,6,2016-11-05,WAS,W,88,86,102.4,100.1,85.9,.346,.359,.490,46.7,67.7,4.7,8.7,.455,8.2,22.2,.218,.430,9.7,70.2,.140
7,7,2016-11-07,CHI,L,80,112,85.1,119.2,94.0,.071,.353,.456,41.1,84.8,6.4,10.0,.441,13.8,12.8,.059,.489,7.2,68.8,.281
8,8,2016-11-09,MIN,L,107,123,115.8,133.2,92.4,.353,.282,.545,47.1,52.6,2.2,7.8,.494,8.4,25.5,.271,.592,5.7,73.7,.230
9,9,2016-11-11,UTA,L,74,87,83.3,98.0,88.8,.244,.256,.428,45.3,50.0,12.4,11.3,.385,12.2,16.7,.179,.451,14.6,74.5,.173
10,10,2016-11-13,OKC,W,119,117,123.6,121.5,96.3,.233,.279,.628,47.5,52.2,4.2,10.4,.599,8.7,21.1,.186,.549,8.8,71.4,.174
11,11,2016-11-14,IND,L,69,88,73.7,94.0,93.6,.155,.298,.385,51.5,44.4,3.2,7.7,.351,13.5,17.6,.119,.433,8.7,86.0,.111
12,12,2016-11-16,NOP,W,89,82,94.2,86.8,94.4,.216,.307,.462,51.0,50.0,7.4,11.5,.443,11.1,25.0,.125,.409,15.8,80.4,.183
13,13,2016-11-19,DAL,W,95,87,100.8,92.3,94.2,.282,.269,.542,59.5,50.0,6.4,16.3,.487,17.8,25.6,.244,.422,12.8,88.9,.286
14,14,2016-11-21,MIL,L,89,93,89.7,93.7,99.2,.312,.325,.508,59.3,65.6,8.1,8.8,.461,21.5,25.0,.234,.453,12.0,86.3,.174
15,15,2016-11-23,PHO,L,87,92,91.8,97.1,94.7,.253,.275,.430,50.0,51.5,9.5,15.7,.401,9.8,22.4,.154,.514,17.1,84.6,.233
16,16,2016-11-25,WAS,L,91,94,97.8,101.0,93.1,.250,.288,.512,57.0,51.4,5.4,11.9,.481,17.6,31.8,.175,.489,10.6,83.3,.091
17,17,2016-11-27,MIL,L,96,104,101.4,109.8,94.7,.185,.304,.483,46.5,63.2,6.3,8.1,.451,6.6,18.9,.141,.523,10.4,78.3,.163
18,18,2016-11-29,SAS,W,95,83,102.5,89.5,92.7,.140,.174,.520,47.1,64.1,12.9,7.1,.488,12.5,20.5,.128,.401,17.1,75.6,.289
19,19,2016-12-01,MEM,L,94,95,100.9,102.0,93.2,.419,.324,.536,51.9,45.5,5.4,16.4,.486,16.2,18.4,.297,.462,9.9,81.4,.278
20,20,2016-12-02,PHI,W,105,88,115.3,96.6,91.1,.333,.333,.587,50.5,64.9,8.8,4.8,.558,10.1,18.4,.231,.426,9.1,72.7,.074
