Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-25,UTA,W,113,104,124.8,114.9,90.5,.293,.253,.667,52.3,56.4,5.5,5.2,.607,12.4,16.7,.293,.537,11.0,82.9,.195
2,2,2016-10-27,LAC,L,106,114,105.2,113.1,100.8,.376,.212,.535,50.0,46.2,4.0,6.5,.482,12.4,21.4,.282,.451,5.9,72.2,.352
3,3,2016-10-29,DEN,W,115,113,100.3,98.5,103.9,.214,.327,.536,42.5,51.1,8.7,10.4,.510,12.3,10.0,.153,.410,12.7,71.4,.310
4,4,2016-11-01,GSW,L,104,127,98.8,120.6,105.3,.244,.453,.546,41.6,62.2,11.4,6.3,.512,15.9,13.6,.186,.618,13.9,78.8,.191
5,5,2016-11-02,PHO,L,115,118,102.9,105.6,101.2,.208,.327,.522,47.3,59.5,7.2,9.2,.475,11.3,18.2,.188,.451,9.4,75.4,.243
6,6,2016-11-04,DAL,W,105,95,109.8,99.4,95.6,.325,.388,.574,48.8,58.3,9.4,5.5,.525,13.3,15.9,.263,.470,11.6,83.3,.205
7,7,2016-11-06,MEM,W,100,94,109.1,102.5,91.7,.380,.465,.603,45.7,59.4,7.6,9.1,.549,15.3,13.5,.310,.420,12.0,72.7,.321
8,8,2016-11-08,PHO,W,124,121,122.1,119.1,101.6,.346,.383,.664,46.1,48.9,4.9,6.2,.642,17.6,21.2,.247,.541,13.7,65.1,.326
9,9,2016-11-09,LAC,L,80,111,85.5,118.6,93.6,.159,.341,.425,46.1,51.6,4.3,5.5,.386,12.9,21.2,.136,.500,6.5,72.0,.276
10,10,2016-11-11,SAC,W,122,120,120.4,118.5,91.7,.314,.384,.623,42.9,64.4,7.9,7.5,.599,10.1,16.7,.221,.523,12.7,69.0,.318
11,11,2016-11-13,DEN,W,112,105,110.3,103.4,101.6,.323,.293,.495,42.7,53.8,7.9,12.9,.434,5.8,24.6,.263,.456,14.8,65.2,.242
12,12,2016-11-15,CHI,L,88,113,90.3,115.9,97.5,.189,.358,.428,42.2,50.0,8.2,5.1,.405,9.7,23.8,.116,.454,8.3,64.2,.245
13,13,2016-11-17,HOU,L,109,126,109.7,126.8,99.3,.233,.311,.549,43.2,58.5,6.0,6.3,.511,10.8,21.3,.189,.558,10.9,64.6,.211
14,14,2016-11-18,NOP,L,101,113,104.3,116.7,96.8,.295,.386,.508,56.5,57.6,2.1,1.7,.443,12.3,26.5,.261,.604,8.1,97.2,.171
15,15,2016-11-20,BRK,W,129,109,128.3,108.4,100.5,.247,.424,.684,58.1,46.9,4.0,12.1,.665,13.7,24.2,.188,.452,7.8,79.2,.269
16,16,2016-11-22,NYK,L,103,107,103.5,107.5,99.5,.302,.256,.529,50.6,47.4,5.0,7.5,.477,14.1,25.0,.244,.516,11.6,76.7,.083
17,17,2016-11-23,CLE,L,125,137,127.1,139.3,98.3,.211,.322,.635,48.1,57.4,6.1,11.1,.594,8.4,22.0,.200,.650,8.9,76.3,.222
18,18,2016-11-25,NOP,W,119,104,117.9,103.0,100.9,.170,.320,.554,60.5,63.8,6.9,9.4,.530,9.3,27.3,.130,.559,13.6,95.2,.250
19,19,2016-11-27,HOU,L,114,130,117.0,133.4,97.5,.349,.398,.595,49.3,60.0,7.2,4.3,.554,12.8,21.6,.265,.665,10.4,79.4,.256
20,20,2016-11-30,IND,W,131,109,139.3,115.9,94.1,.202,.340,.640,55.6,56.9,13.8,5.2,.606,5.5,33.3,.181,.542,14.6,86.7,.431
21,21,2016-12-03,MIA,W,99,92,105.1,97.6,94.2,.270,.270,.497,50.5,52.8,6.4,14.1,.455,7.4,24.0,.202,.477,12.3,81.4,.116
