Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,PHO,W,113,94,116.8,97.1,96.8,.302,.244,.580,50.0,54.5,5.2,8.2,.547,11.8,24.4,.221,.494,16.8,75.6,.234
2,2,2016-10-27,SAS,L,94,102,103.2,112.0,91.0,.543,.286,.542,50.0,78.6,7.7,0.0,.443,14.7,16.2,.457,.494,9.0,79.1,.304
3,3,2016-10-29,MIN,W,106,103,118.6,115.3,89.4,.294,.306,.552,46.3,61.5,6.7,10.4,.512,11.9,27.5,.224,.579,11.6,74.1,.314
4,4,2016-10-31,ATL,L,95,106,101.3,113.1,93.7,.253,.307,.570,46.9,72.2,10.7,12.2,.547,18.6,18.8,.173,.487,11.5,65.3,.367
5,5,2016-11-01,MIA,L,96,108,91.4,102.8,95.1,.303,.258,.476,54.1,35.3,3.8,7.0,.410,12.9,18.8,.258,.506,13.2,88.0,.244
6,6,2016-11-03,ORL,L,94,102,104.1,112.9,90.3,.213,.225,.537,47.0,44.7,8.9,1.9,.519,13.8,26.2,.138,.512,12.9,68.3,.190
7,7,2016-11-05,MIL,L,91,117,101.4,130.4,89.7,.226,.333,.493,40.4,81.8,8.9,6.1,.452,13.2,26.5,.179,.585,13.9,57.5,.256
8,8,2016-11-06,TOR,W,96,91,111.9,106.1,85.8,.397,.205,.524,52.2,61.8,4.7,9.3,.468,8.9,30.2,.295,.399,5.8,72.3,.286
9,9,2016-11-08,NOP,W,102,94,109.7,101.1,92.9,.247,.309,.568,49.4,61.5,7.5,9.5,.531,10.0,13.2,.198,.482,9.8,82.9,.155
10,10,2016-11-10,LAL,L,91,101,93.2,103.4,97.6,.235,.247,.485,50.6,52.9,13.3,6.4,.447,13.8,22.4,.176,.574,20.1,88.9,.216
11,11,2016-11-11,POR,L,120,122,118.5,120.4,91.7,.398,.239,.580,57.1,41.9,6.9,5.7,.523,12.7,31.0,.318,.599,10.1,83.3,.221
12,12,2016-11-16,SAS,L,105,110,110.9,116.2,94.7,.408,.263,.586,55.4,58.3,5.3,5.2,.533,15.1,26.3,.316,.551,10.3,80.0,.148
13,13,2016-11-18,LAC,L,115,121,114.7,120.7,100.2,.407,.302,.567,50.0,55.3,7.0,8.5,.500,12.1,22.0,.337,.612,13.3,84.8,.368
14,14,2016-11-20,TOR,W,102,99,107.1,104.0,95.2,.309,.333,.554,43.5,72.2,8.4,13.1,.512,12.4,11.1,.235,.453,13.6,67.3,.259
15,15,2016-11-23,OKC,W,116,101,120.4,104.8,96.4,.181,.298,.572,54.8,59.1,4.2,2.0,.532,9.8,25.0,.170,.467,8.8,87.5,.395
16,16,2016-11-25,HOU,L,104,117,106.5,119.8,97.7,.263,.400,.583,46.8,61.5,7.2,17.1,.544,13.6,10.5,.213,.594,13.0,80.5,.188
17,17,2016-11-27,BRK,W,122,105,124.7,107.3,97.9,.256,.267,.638,51.7,52.2,11.2,6.3,.610,12.0,21.4,.198,.529,13.9,80.0,.149
18,18,2016-11-28,WAS,L,95,101,89.3,94.9,96.4,.280,.226,.455,47.3,52.6,14.1,6.7,.425,16.1,25.5,.172,.471,19.3,73.8,.247
19,19,2016-12-02,BOS,L,92,97,97.3,102.6,94.5,.287,.299,.469,53.7,66.7,9.5,16.7,.414,13.3,29.8,.230,.472,12.1,77.1,.159
