Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-25,GSW,W,129,100,131.3,101.8,98.3,.265,.245,.589,61.1,53.2,13.2,5.8,.541,10.6,43.8,.235,.512,14.7,81.0,.153
2,2,2016-10-27,SAC,W,102,94,112.0,103.2,91.0,.342,.228,.561,50.0,63.9,11.0,16.0,.494,9.0,20.9,.304,.443,14.7,83.8,.457
3,3,2016-10-29,NOP,W,98,79,104.7,84.4,93.6,.277,.289,.526,52.6,60.0,6.4,10.9,.482,8.8,13.6,.217,.395,8.9,86.3,.128
4,4,2016-10-30,MIA,W,106,99,113.5,106.0,93.4,.317,.220,.567,55.0,54.1,4.3,8.3,.512,13.8,31.8,.268,.506,11.6,83.3,.225
5,5,2016-11-01,UTA,L,91,106,101.4,118.1,89.8,.276,.263,.534,46.6,57.6,6.7,11.1,.474,9.6,9.8,.250,.599,10.6,93.8,.197
6,6,2016-11-04,UTA,W,100,86,108.7,93.5,92.0,.265,.241,.539,53.8,45.9,9.8,14.8,.482,10.6,21.4,.241,.444,11.7,81.6,.188
7,7,2016-11-05,LAC,L,92,116,98.2,123.9,93.7,.338,.338,.541,49.4,63.3,5.3,7.4,.473,15.0,17.1,.297,.566,7.6,82.5,.143
8,8,2016-11-09,HOU,L,99,101,103.8,105.9,95.4,.357,.274,.509,46.4,66.7,14.7,10.4,.435,9.3,21.3,.310,.538,17.8,78.4,.218
9,9,2016-11-11,DET,W,96,86,112.2,100.5,85.6,.235,.247,.537,51.7,66.7,9.3,3.9,.500,8.2,23.3,.185,.454,11.4,79.5,.224
10,10,2016-11-12,HOU,W,106,100,114.3,107.8,92.7,.316,.237,.612,43.2,51.2,6.5,26.2,.572,10.4,6.3,.250,.466,12.5,67.3,.191
11,11,2016-11-14,MIA,W,94,90,100.2,96.0,93.8,.329,.183,.501,55.8,72.7,4.3,10.1,.451,15.3,32.6,.244,.459,12.1,77.6,.141
12,12,2016-11-16,SAC,W,110,105,116.2,110.9,94.7,.193,.341,.576,44.6,67.4,11.6,12.5,.551,10.3,20.0,.148,.533,15.1,73.7,.316
13,13,2016-11-18,LAL,W,116,107,124.8,115.1,93.0,.244,.308,.672,43.0,68.2,8.6,9.7,.628,12.2,9.1,.231,.517,11.9,67.4,.195
14,14,2016-11-21,DAL,W,96,91,108.0,102.4,88.9,.333,.267,.558,49.4,68.6,10.1,2.1,.520,13.1,21.1,.240,.527,17.0,75.6,.176
15,15,2016-11-23,CHO,W,119,114,125.0,119.8,95.2,.233,.360,.628,43.6,63.6,9.5,11.6,.587,8.7,20.0,.209,.567,13.4,68.4,.146
16,16,2016-11-25,BOS,W,109,103,116.9,110.4,93.3,.309,.296,.592,55.6,63.2,4.3,14.0,.537,14.8,31.7,.272,.527,9.5,80.0,.077
17,17,2016-11-26,WAS,W,112,100,120.3,107.4,93.1,.387,.320,.638,49.4,55.0,7.5,7.7,.593,13.8,17.6,.307,.517,11.4,74.4,.115
18,18,2016-11-29,ORL,L,83,95,89.5,102.5,92.7,.342,.263,.475,52.9,67.9,9.7,5.6,.401,17.1,24.4,.289,.488,12.5,79.5,.128
19,19,2016-11-30,DAL,W,94,87,111.5,103.2,84.3,.338,.268,.576,53.2,48.5,8.3,12.8,.542,11.9,19.4,.239,.494,11.7,81.4,.143
20,20,2016-12-02,WAS,W,107,105,111.7,109.6,95.8,.413,.250,.566,46.3,69.2,11.5,5.7,.538,13.7,26.1,.263,.549,16.8,73.5,.198
