Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,DET,W,109,91,114.5,95.6,95.2,.337,.209,.552,56.0,41.5,8.4,0.0,.494,10.0,30.4,.279,.440,12.2,82.2,.202
2,2,2016-10-28,CLE,L,91,94,96.9,100.1,93.9,.200,.178,.465,56.0,34.3,9.6,6.4,.411,15.5,36.7,.189,.494,16.1,78.6,.203
3,3,2016-10-31,DEN,W,105,102,114.9,111.6,91.4,.284,.182,.530,48.3,39.0,7.7,15.3,.489,6.6,23.9,.216,.463,7.7,74.4,.333
4,4,2016-11-02,WAS,W,113,103,118.0,107.6,95.7,.325,.325,.642,46.3,48.8,16.7,3.2,.623,12.9,11.8,.221,.604,19.5,81.8,.222
5,5,2016-11-04,MIA,W,96,87,104.2,94.5,92.1,.214,.298,.522,53.8,37.8,7.6,8.3,.476,14.0,29.5,.190,.438,12.1,75.5,.114
6,6,2016-11-06,SAC,L,91,96,106.1,111.9,85.8,.369,.357,.466,47.8,73.3,7.0,8.1,.399,5.8,27.7,.286,.468,8.9,69.8,.295
7,7,2016-11-09,OKC,W,112,102,120.0,109.3,93.3,.265,.313,.604,47.3,58.1,10.7,15.0,.584,10.6,20.0,.181,.500,17.8,71.8,.378
8,8,2016-11-11,CHO,W,113,111,119.2,117.1,94.8,.244,.244,.567,44.1,41.9,8.4,9.6,.511,4.8,17.0,.233,.500,9.6,67.3,.194
9,9,2016-11-12,NYK,W,118,107,119.6,108.5,98.6,.458,.265,.592,47.3,46.2,10.1,8.1,.512,9.9,25.6,.398,.490,13.3,66.0,.124
10,10,2016-11-15,CLE,L,117,121,118.2,122.2,99.0,.188,.302,.563,46.5,52.2,11.1,10.0,.547,7.1,25.0,.125,.608,15.1,73.7,.241
11,11,2016-11-16,GSW,L,121,127,121.4,127.5,99.6,.500,.305,.605,56.8,43.2,8.0,2.0,.512,12.3,31.7,.451,.580,10.8,82.5,.299
12,12,2016-11-18,DEN,W,113,111,102.7,100.8,99.7,.330,.245,.525,43.7,53.5,7.3,3.4,.500,10.0,12.5,.202,.494,15.9,80.9,.349
13,13,2016-11-20,SAC,L,99,102,104.0,107.1,95.2,.282,.282,.518,56.5,47.1,7.4,11.1,.453,13.6,32.7,.259,.512,12.4,88.9,.235
14,14,2016-11-21,LAC,L,115,123,116.3,124.4,98.9,.400,.238,.611,43.2,47.5,10.1,4.1,.550,10.5,10.0,.338,.595,13.1,82.4,.473
15,15,2016-11-23,HOU,W,115,102,122.0,108.2,94.3,.239,.261,.591,49.4,65.1,14.8,19.4,.557,12.6,34.9,.193,.577,23.8,67.6,.154
16,16,2016-11-25,MIL,W,105,99,121.6,114.7,86.3,.238,.388,.594,48.6,47.4,3.5,10.0,.563,9.2,22.5,.188,.582,11.5,79.4,.089
17,17,2016-11-28,PHI,W,122,95,132.7,103.4,91.9,.403,.247,.673,52.5,52.4,12.0,15.4,.630,11.7,23.5,.325,.500,13.2,73.9,.105
18,18,2016-11-30,MEM,W,120,105,132.1,115.6,90.8,.478,.464,.718,58.3,60.5,8.8,5.6,.667,17.7,35.7,.406,.512,14.0,72.7,.272
19,19,2016-12-02,LAL,W,113,80,123.2,87.2,91.7,.157,.349,.637,48.9,55.6,8.7,7.5,.614,10.1,20.6,.133,.376,13.7,66.1,.108
20,20,2016-12-03,ATL,W,128,84,133.7,87.8,95.7,.120,.261,.661,55.8,52.8,14.6,11.7,.647,11.0,32.4,.098,.438,16.0,73.5,.080
