Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-25,POR,L,104,113,114.9,124.8,90.5,.195,.293,.584,47.7,47.5,9.9,8.9,.537,11.0,17.1,.195,.607,12.4,83.3,.293
2,2,2016-10-28,LAL,W,96,89,104.2,96.6,92.1,.533,.333,.518,52.2,45.2,4.3,11.5,.453,13.1,28.9,.373,.435,13.1,75.6,.190
3,3,2016-10-30,LAC,L,75,88,84.4,99.1,88.8,.178,.260,.476,46.7,62.1,9.0,5.4,.445,18.6,16.7,.137,.446,12.4,72.0,.169
4,4,2016-11-01,SAS,W,106,91,118.1,101.4,89.8,.237,.408,.632,53.4,57.9,5.6,14.3,.599,10.6,6.3,.197,.474,9.6,90.2,.250
5,5,2016-11-02,DAL,W,97,81,109.7,91.6,88.4,.338,.325,.548,53.2,51.4,6.8,5.9,.532,11.9,18.9,.195,.474,12.8,85.0,.104
6,6,2016-11-04,SAS,L,86,100,93.5,108.7,92.0,.300,.325,.475,46.2,50.0,7.6,6.3,.444,11.7,18.4,.188,.482,10.6,78.6,.241
7,7,2016-11-06,NYK,W,114,109,125.2,119.8,91.0,.467,.333,.631,46.6,55.3,6.6,6.3,.560,10.0,19.4,.400,.554,11.6,73.0,.205
8,8,2016-11-07,PHI,W,109,84,117.0,90.2,93.1,.235,.224,.581,51.7,46.5,10.7,19.6,.571,9.6,23.3,.141,.448,17.2,79.5,.195
9,9,2016-11-09,CHO,L,98,104,105.5,111.9,92.9,.220,.415,.545,55.4,63.2,5.4,10.7,.512,11.8,23.8,.171,.512,7.8,87.8,.244
10,10,2016-11-11,ORL,W,87,74,98.0,83.3,88.8,.198,.346,.494,54.7,57.6,10.1,12.1,.451,14.6,25.5,.173,.385,12.2,83.3,.179
11,11,2016-11-12,MIA,W,102,91,111.2,99.2,91.8,.235,.247,.571,53.6,30.0,5.4,6.3,.531,9.2,14.6,.198,.500,8.2,90.7,.123
12,12,2016-11-14,MEM,L,96,102,113.5,120.5,84.6,.301,.384,.581,39.7,48.6,9.5,1.8,.534,8.8,16.7,.247,.526,15.5,62.2,.289
13,13,2016-11-17,CHI,L,77,85,89.4,98.6,86.2,.179,.321,.457,51.1,36.7,4.6,4.1,.417,13.4,23.8,.154,.394,7.6,73.1,.156
14,14,2016-11-19,HOU,L,102,111,111.2,121.1,91.7,.224,.355,.611,52.4,56.4,3.3,8.1,.592,12.6,14.7,.158,.511,3.7,79.2,.160
15,15,2016-11-20,DEN,L,91,105,99.5,114.8,91.5,.271,.306,.478,50.0,45.5,3.3,9.4,.429,9.5,27.5,.212,.535,7.5,74.5,.151
16,16,2016-11-23,DEN,W,108,83,109.8,84.4,98.3,.392,.329,.583,51.0,48.7,4.1,4.9,.544,13.1,10.3,.278,.369,9.0,77.0,.205
17,17,2016-11-25,ATL,W,95,68,101.1,72.4,93.9,.225,.425,.540,57.9,48.6,9.6,15.5,.500,15.4,20.9,.188,.361,13.7,88.5,.096
18,18,2016-11-28,MIN,W,112,103,120.9,111.1,92.7,.430,.228,.596,51.9,47.5,9.7,4.8,.532,11.3,29.3,.354,.488,13.2,75.0,.296
19,19,2016-11-29,HOU,W,120,101,136.4,114.8,88.0,.365,.378,.699,51.3,56.1,4.5,8.2,.655,8.5,17.9,.311,.467,6.5,70.0,.176
20,20,2016-12-01,MIA,L,110,111,129.5,130.7,85.0,.233,.411,.683,43.7,60.0,5.9,11.9,.664,12.0,15.6,.178,.558,6.0,66.7,.174
21,21,2016-12-03,DEN,W,105,98,114.5,106.8,91.7,.359,.321,.581,51.9,57.1,8.7,5.1,.506,9.1,18.9,.333,.524,13.6,82.5,.133
