Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-27,ATL,L,99,114,95.7,110.2,103.4,.191,.213,.486,43.5,62.5,13.5,6.5,.457,15.7,24.0,.138,.568,18.0,66.7,.159
2,2,2016-10-30,MEM,L,103,112,103.2,112.2,90.4,.291,.291,.531,46.0,50.0,8.0,7.0,.471,12.6,18.2,.256,.528,12.3,74.4,.216
3,3,2016-11-02,TOR,L,103,113,107.6,118.0,95.7,.333,.139,.624,53.7,50.0,8.4,9.6,.604,19.5,18.2,.222,.623,12.9,88.2,.221
4,4,2016-11-04,ATL,W,95,92,93.0,90.1,102.1,.438,.250,.498,49.5,41.9,6.9,5.2,.419,16.6,22.9,.350,.416,15.4,77.8,.277
5,5,2016-11-05,ORL,L,86,88,100.1,102.4,85.9,.198,.198,.460,53.3,32.4,4.7,10.0,.430,9.7,29.8,.140,.455,8.2,77.8,.218
6,6,2016-11-07,HOU,L,106,114,110.3,118.6,96.1,.213,.287,.516,54.9,51.3,12.5,11.9,.468,11.2,34.0,.191,.627,17.2,82.9,.190
7,7,2016-11-09,BOS,W,118,93,129.8,102.3,90.9,.217,.228,.585,63.5,63.0,11.0,14.0,.554,9.8,44.2,.174,.494,10.8,83.3,.160
8,8,2016-11-11,CLE,L,94,105,96.5,107.8,97.4,.218,.172,.493,49.5,42.1,7.2,9.4,.454,13.6,22.7,.172,.500,13.3,73.5,.221
9,9,2016-11-12,CHI,L,95,106,97.8,109.2,97.1,.198,.143,.480,48.5,50.0,3.1,8.5,.440,10.8,26.0,.165,.428,8.5,70.6,.237
10,10,2016-11-16,PHI,L,102,109,104.1,111.2,98.0,.275,.253,.500,49.4,47.4,8.2,2.0,.462,9.7,23.4,.198,.610,16.4,85.3,.195
11,11,2016-11-17,NYK,W,119,112,125.4,118.0,94.9,.222,.309,.669,50.7,59.1,7.4,3.5,.636,14.4,21.2,.198,.547,12.1,75.0,.209
12,12,2016-11-19,MIA,L,111,114,119.5,122.7,92.9,.250,.307,.568,44.2,52.4,9.7,8.6,.540,9.3,28.6,.182,.582,14.2,59.1,.176
13,13,2016-11-21,PHO,W,106,101,105.0,100.1,100.9,.374,.308,.500,46.4,67.6,7.9,6.3,.462,9.4,26.4,.242,.489,17.7,70.5,.132
14,14,2016-11-25,ORL,W,94,91,101.0,97.8,93.1,.114,.330,.509,43.0,65.0,10.7,7.0,.489,10.6,16.7,.091,.481,17.6,68.2,.175
15,15,2016-11-26,SAS,L,100,112,107.4,120.3,93.1,.161,.253,.537,50.6,50.0,11.8,2.0,.517,11.4,25.6,.115,.593,13.8,82.4,.307
16,16,2016-11-28,SAC,W,101,95,94.9,89.3,96.4,.306,.294,.524,52.7,62.9,10.3,9.7,.471,19.3,26.2,.247,.425,16.1,74.5,.172
17,17,2016-11-30,OKC,L,115,126,106.2,116.4,98.1,.265,.286,.525,50.5,56.8,7.4,4.6,.500,9.1,22.4,.173,.547,10.7,80.4,.232
18,18,2016-12-02,SAS,L,105,107,109.6,111.7,95.8,.222,.136,.590,53.8,61.0,13.6,5.0,.549,16.8,26.5,.198,.538,13.7,73.9,.263
