Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,Space,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,23,OKC,16,201,5.6,.487,.677,.169,1.1,7.1,4.2,4.8,1.2,0.4,15.7,17.6,,-0.2,0.1,0.0,-0.008,,-3.7,-2.6,-6.3,-0.2
2,Quincy Acy\acyqu01,PF,26,DAL,6,48,-1.1,.355,.471,.176,4.4,15.3,9.5,0.0,0.0,0.0,9.8,19.8,,-0.1,0.0,-0.1,-0.120,,-9.7,-5.6,-15.4,-0.2
3,Steven Adams\adamsst01,C,23,OKC,20,627,14.5,.596,.000,.376,10.2,17.4,13.9,3.0,1.9,2.4,17.9,15.2,,0.7,0.9,1.6,.120,,-1.8,1.3,-0.6,0.2
4,Arron Afflalo\afflaar01,SG,31,SAC,19,498,9.9,.531,.291,.269,1.2,10.0,5.6,7.1,0.6,0.2,2.6,13.8,,0.6,0.1,0.7,.071,,-1.0,-1.9,-2.9,-0.1
5,Alexis Ajinca\ajincal01,C,28,NOP,9,108,7.3,.417,.000,.121,8.9,21.8,15.4,1.4,0.5,3.7,12.6,16.4,,-0.1,0.1,0.0,-0.009,,-8.1,-0.7,-8.9,-0.2
6,Cole Aldrich\aldrico01,C,28,MIN,20,256,14.7,.573,.000,.295,11.2,25.4,18.0,5.6,2.5,4.0,9.1,9.3,,0.5,0.4,0.8,.156,,-0.7,2.6,1.9,0.3
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,18,593,18.1,.544,.071,.314,6.3,17.1,11.7,8.6,1.0,2.5,8.5,24.7,,0.9,0.6,1.6,.126,,-0.3,-0.3,-0.5,0.2
8,Lavoy Allen\allenla01,PF,27,IND,19,294,6.8,.336,.020,.118,10.1,11.5,10.8,9.4,1.0,2.0,11.5,9.0,,-0.1,0.2,0.1,.024,,-3.7,1.1,-2.7,0.0
9,Tony Allen\allento01,SG,35,MEM,14,339,11.8,.463,.100,.227,9.4,12.2,10.7,6.6,3.5,2.3,14.2,19.0,,-0.2,0.6,0.4,.054,,-3.0,2.4,-0.6,0.1
10,Al-Farouq Aminu\aminual01,SF,26,POR,8,209,8.0,.372,.581,.242,3.7,24.4,14.0,8.3,2.8,2.6,14.9,16.8,,-0.4,0.2,-0.2,-0.049,,-4.7,1.4,-3.4,-0.1
11,Chris Andersen\anderch01,C,38,CLE,8,71,10.6,.449,.176,.706,12.7,20.8,16.9,9.7,1.4,3.3,18.3,16.7,,0.0,0.1,0.1,.066,,-3.7,1.7,-2.0,0.0
12,Alan Anderson\anderal01,SF,34,LAC,2,14,5.0,.500,.667,.000,8.2,7.8,8.0,10.9,0.0,0.0,14.3,22.3,,0.0,0.0,0.0,.033,,-0.2,-3.3,-3.5,0.0
13,Justin Anderson\anderju01,SF,23,DAL,19,385,12.5,.484,.368,.316,6.4,17.2,11.4,8.2,1.9,2.4,12.4,21.5,,-0.1,0.5,0.4,.044,,-3.0,1.1,-1.9,0.0
14,Kyle Anderson\anderky01,SG,23,SAS,17,249,9.8,.492,.222,.167,4.2,18.1,11.2,7.9,2.5,1.7,15.3,8.5,,0.1,0.4,0.4,.082,,-2.1,2.9,0.8,0.2
15,Ryan Anderson\anderry01,PF,28,HOU,20,623,13.2,.569,.570,.158,6.9,13.1,10.0,4.9,0.6,0.3,8.5,17.9,,1.2,0.1,1.3,.097,,1.7,-3.0,-1.3,0.1
16,Giannis Antetokounmpo\antetgi01,SG,22,MIL,18,620,26.9,.596,.147,.425,5.0,21.9,13.6,31.0,3.1,5.7,15.5,28.3,,1.6,1.3,2.9,.228,,4.7,5.0,9.7,1.8
17,Carmelo Anthony\anthoca01,SF,32,NYK,19,645,19.4,.539,.312,.248,3.0,16.7,9.9,13.3,1.7,0.7,8.5,29.2,,1.1,0.4,1.5,.114,,2.4,-2.1,0.3,0.4
18,Trevor Ariza\arizatr01,SF,31,HOU,20,673,15.3,.593,.718,.109,2.5,14.3,8.4,9.1,3.1,0.5,7.4,14.7,,1.3,0.6,1.9,.137,,3.2,0.5,3.6,0.9
19,Darrell Arthur\arthuda01,PF,28,DEN,7,93,7.5,.514,.444,.000,3.4,11.4,7.4,8.5,0.5,0.8,14.3,18.9,,0.0,0.0,0.0,.009,,-2.2,-2.1,-4.3,-0.1
20,Omer Asik\asikom01,C,30,NOP,20,366,11.6,.571,.000,.558,10.2,27.8,19.0,4.2,0.4,1.8,14.5,9.2,,0.5,0.4,0.9,.116,,-3.5,1.0,-2.6,-0.1
21,D.J. Augustin\augusdj01,PG,29,ORL,20,395,13.5,.548,.507,.250,0.5,6.0,3.2,26.1,0.9,0.0,13.8,22.2,,0.4,0.3,0.7,.089,,0.7,-3.6,-3.0,-0.1
22,Luke Babbitt\babbilu01,SF,27,MIA,19,302,6.1,.465,.699,.084,1.7,10.9,6.2,4.4,1.2,0.3,8.5,13.9,,-0.1,0.3,0.2,.025,,-2.5,-1.0,-3.5,-0.1
23,Ron Baker\bakerro01,SG,23,NYK,4,34,10.3,.396,.538,.154,3.2,3.2,3.2,8.3,4.4,2.4,6.7,18.9,,0.0,0.0,0.0,-0.007,,-2.1,-0.2,-2.3,0.0
24,Wade Baldwin\baldwwa01,PG,20,MEM,14,234,7.4,.378,.206,.206,3.4,11.5,7.3,26.0,2.7,2.0,22.1,18.6,,-0.5,0.3,-0.2,-0.035,,-5.5,1.4,-4.1,-0.1
25,Leandro Barbosa\barbole01,SG,34,PHO,19,232,12.9,.502,.213,.067,1.8,9.7,5.6,15.6,1.2,0.0,3.2,17.0,,0.3,0.1,0.4,.078,,-0.8,-2.5,-3.3,-0.1
26,J.J. Barea\bareajo01,PG,32,DAL,9,298,17.7,.543,.382,.228,1.4,11.1,5.9,30.9,1.1,0.3,11.7,24.1,,0.5,0.2,0.7,.109,,1.9,-1.5,0.5,0.2
